As of:,30-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,," 7,497,175 ",,,,,,,,,,,, -   ,#REF!,,,,,,,,,#N/A,,,,,,,,,,,,,
 Investments Securities in US Dollars,,,,,,,, -   , -   , -   , -   ," 1,084,912,418 ",,,,,,,,,,,," (2,014,293)"," 102,142,213 ", Agrees to 2Q2014 10Q Disclosure ,,,,,,,," 232,197,406.5 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,
,,,,,,,Totals," 190,496,514,853 "," 113,884,005,052 "," 114,778,398,313 "," 115,863,310,731 "," 1,077,415,243 "," 1,801,251,981 "," (723,836,738)",,,,,,,,,," (2,014,293)",#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
Legal Entity Number,InTrader    Investran     Non-InTrader/Investran,ISIN/ CUSIP,Security Name,Reporting Category 1,Reporting Category 2,Geographic Location,B/S Intent,Original Face Value,Current Par, Amortized Cost , Fair Value ,Net Unrealized Gain/(Loss),Gross Unrealized Gains,Gross Unrealized Losses,FR Y-14Q Category 1,FR Y-14Q Security Description 1,FR Y-14Q Security Description 2,FR Y-14Q Security Description 3,Weighted Avg TE Yield to Maturity (%),Contractual Maturity,Aging of Unrealized Loss.  > 12 months or < 12 months,Credit Rating Bucket,Individual Credit Rating,Current Qtrly Period Impairment Recognized,Cumulative Credit Impairment,Cumulative Credit Impairment,General Ledger Account - Amortized Cost,General Ledger Account - Unrealized,FAS 157 Pricing Level,RC-B Line,Submitted BY:,InTrader Ticket #,Book, OCI Adj , OCI Adj Book ,Domestic AFS Non-agency RMBS / CMBS Vintage,Portfolio #,Class Code,Purchase Date, Book Yield ,Book Yield,book yield rounded,Book Price,CUSIP + Legal Entity + Intention,Type in BRS,Type in Entire BRS,IB Flag
00111,InTrader,3136ALGC9,FNMA_14-61,Agency MBS,Agency RMBS,United States,HTM," 87,742,448 "," 87,742,448 "," 89,003,531 "," 89,003,746 ", 215 , 215 ,  , Agency MBS , Agency MBS ,,,2.8708%,Due after ten years,NA,AAA to AA-,AA+,, -   , -   ,1212009,,2,4B1,Treasury,0332089770," 89,003,531 ", -   ," 89,003,531 ",2014,CMOFX09M,078,9/17/2014,2.87079,0.0287079, 0.029 ,101.4372552,3136ALGC900111HTM,#N/A,Agency MBS,Yes
00111,InTrader,3137BCV88,FHLMC_4375E,Agency MBS,Agency RMBS,United States,HTM," 79,475,904 "," 78,246,676 "," 82,263,903 "," 81,422,787 "," (841,116)",  ," (841,116)", Agency MBS , Agency MBS ,,,3.0469%,Due after ten years,< 12 months,AAA to AA-,AA+,, -   , -   ,1212009,,2,4B1,Treasury,0332084804," 82,263,903 ", -   ," 82,263,903 ",2014,CMOFX09M,089,8/29/2014,3.04689,0.0304689, 0.030 ,105.1340538,3137BCV8800111HTM,#N/A,Agency MBS,Yes
00111,InTrader,3136AJ4S2,FNMA_14-23G,Agency MBS,Agency RMBS,United States,HTM," 83,432,000 "," 79,451,298 "," 80,851,900 "," 80,953,643 "," 101,742 "," 101,742 ",  , Agency MBS , Agency MBS ,,,2.8385%,Due after ten years,NA,AAA to AA-,AA+,, -   , -   ,1212009,,2,4B1,Treasury,0332086517," 80,851,900 ", -   ," 80,851,900 ",2014,CMOFX09M,078,9/17/2014,2.83853,0.0283853, 0.028 ,101.7628437,3136AJ4S200111HTM,#N/A,Agency MBS,Yes
00111,InTrader,3137B9FL4,FHLMC_4314G,Agency MBS,Agency RMBS,United States,AFS," 80,939,930 "," 75,716,309 "," 77,196,562 "," 76,853,492 "," (343,070)",  ," (343,070)", Agency MBS , Agency MBS ,,,2.7836%,Due after ten years,< 12 months,AAA to AA-,AA+,, -   , -   ,1220048,1291098,2,4B1,Treasury,0332076488," 77,196,562 ", -   ," 77,196,562 ",2014,RMFX09  ,089,7/2/2014,2.78358,0.0278358, 0.028 ,101.954999,3137B9FL400111AFS,#N/A,Agency MBS,Yes
00111,InTrader,            ,FNR_14-70_BBG,Agency MBS,Agency RMBS,United States,HTM, -   ," 68,212,698 "," 69,704,851 "," 69,704,851 ", -   ,  ,  , Agency MBS , Agency MBS ,,,2.7900%,Due after ten years,NA,AAA to AA-,AA+,, -   , -   ,1212009,,2,4B1,Treasury,0332089381, -   , -   , -   ,2014,CMOFX09M,078,9/26/2014,0,0, -   ,102.1875,            00111HTM,#N/A,#N/A,Yes
00111,InTrader,            ,FNMA  15YR TBA(REG B),Agency MBS,Agency RMBS,United States,AFS, -   ," 50,000,000 "," 52,871,094 "," 52,871,094 ", -   ,  ,  , Agency MBS , Agency MBS ,,,0.0000%,Due after ten years,< 12 months,AAA to AA-,AA+,, -   , -   ,1220044,1291094,2,4A2,Treasury,0904001033, -   , -   , -   ,2014,343-08  ,072,9/29/2014,0,0, -   ,105.742188,            00111AFS,#N/A,#N/A,Yes
00111,InTrader,            ,FNMA  15YR TBA(REG B),Agency MBS,Agency RMBS,United States,AFS, -   ," 50,000,000 "," 52,871,094 "," 52,871,094 ", -   ,  ,  , Agency MBS , Agency MBS ,,,0.0000%,Due after ten years,< 12 months,AAA to AA-,AA+,, -   , -   ,1220044,1291094,2,4A2,Treasury,0904001034, -   , -   , -   ,2014,343-08  ,072,9/29/2014,0,0, -   ,105.742188,            00111AFS,#N/A,#N/A,Yes
00111,InTrader,            ,FNMA  15YR TBA(REG B),Agency MBS,Agency RMBS,United States,AFS, -   ," 50,000,000 "," 52,871,094 "," 52,871,094 ", -   ,  ,  , Agency MBS , Agency MBS ,,,0.0000%,Due after ten years,< 12 months,AAA to AA-,AA+,, -   , -   ,1220044,1291094,2,4A2,Treasury,0904001035, -   , -   , -   ,2014,343-08  ,072,9/29/2014,0,0, -   ,105.742188,            00111AFS,#N/A,#N/A,Yes
