CUSIP,ISIN,Current Face in Local Currency in Thousand,Current Face in USD,99-20 or not,Intention,Book Price,Excluded from Analysis?
BRS6JBPM7,XS0274759652,7880," 9,954,925.62 ",No,AFS,97.9271,NO
BNY0H4RD8,XS0237880041,839," 1,059,726.18 ",No,AFS,98.4888,NO
BRS5VYLY3,XS0294785034,13853," 17,500,597.92 ",No,AFS,97.5476,NO
BRS4EUYS2,XS0308764660,4946," 6,248,070.73 ",No,AFS,98.8028,NO
38741YDF3,US38741YDF34,1697," 1,696,824.09 ",No,AFS,100.0000,NO
38741YDB2,US38741YDB20,1263," 1,262,752.82 ",No,AFS,100.0000,NO
BRS3U9NT3,XS0275790789,46136," 58,285,294.36 ",Yes,AFS,100.7163,NO
BRS56RHC9,XS0275790862,20505," 33,242,169.77 ",Yes,AFS,101.1540,NO
BRS5M6WJ5,XS0274609923,68920," 87,069,629.77 ",No,HTM,100.1491,NO
BNY1RZ4T6,XS0833089153,50000," 63,167,500.00 ",No,AFS,100.0000,NO
BNY1N57G1,NL0010200473,45000," 56,850,750.00 ",No,AFS,100.0000,NO
BNY1S6R49,XS0826174772,45000," 56,850,750.00 ",No,AFS,100.0000,NO
067605451,XS0676054546,40000," 50,534,000.00 ",No,AFS,100.4653,NO
BRS3UE026,XS0255992413,37554," 47,443,344.91 ",No,HTM,100.1654,NO
Z9158S168,XS0619302135,30000," 37,900,500.00 ",No,AFS,98.2155,NO
BRS1WGBP0,XS0233450138,24859," 31,405,662.95 ",No,HTM,97.1779,NO
BRS64R6L1,XS0292255758,32789," 41,423,984.44 ",No,HTM,100.1082,NO
BRS75PXU2,XS0207208165,21832," 27,581,792.43 ",No,HTM,100.0914,NO
BNY1S6QY4,XS0826174269,16411," 20,733,181.69 ",No,AFS,100.0000,NO
BNY1RZ4H2,XS0833086563,14993," 18,941,695.16 ",No,AFS,100.0000,NO
BRS1DNC59,XS0216513118,13402," 16,931,724.33 ",No,HTM,100.1750,NO
BRS30CEN2,XS0271028838,11281," 14,251,262.45 ",No,HTM,100.1347,NO
BNY1J7756,XS0763536116,5292," 6,686,279.88 ",No,AFS,100.0000,NO
BNY0KUBG6,XS0462896415,98000," 158,877,600.00 ",No,AFS,100.3850,NO
