Scenario,CUSIP,ISIN,Moody's Asset Type,Intention,Current Face (000$),Book Price,Previously Impaired,Tranche Projected Principal Loss %,Moody's Yield (%),Moody's Stressed Book Price,Moody's OTTI (%),Moody's OTTI for 99-20 (000$),imp,Moody's OTTI for non 99-20 ($000),Modified Duration,Effective Duration,Convexity,WAL (Principal),WAL,DM/Yield,Cumulative Lifetime Pool Loss %,Projected Pool Loss %,Projected Pool Defaulted %,Cumulative Lifetime Tranche Loss %,Cumulative Lifetime Tranche Loss $,Tranche Projected Principal Loss $,Country,Credit Model
Fed Base,BRS6JBPM7,XS0274759652,CDO - High Yield CLO-Arbitrage Cash Flow,AFS,9954.92562,97.9271,No,0,,,0,0,0,0,0.801431718,0.81357586,0.01353286,0.824541579,0.811579943,2.861955066,0.073903657,0.10422177,0.139712647,0,0,0,EURO,CreditEdge Stressed EDFs
Fed Base,BNY0H4RD8,XS0237880041,CDO - High Yield CLO-Arbitrage Cash Flow,AFS,1059.72618,98.4888,No,0,,,0,0,0,0,0.319353315,0.327777778,0.002575592,0.327777778,0.323066393,5.071260621,0.022215126,0.037031382,0.091624714,0,0,0,EURO,CreditEdge Stressed EDFs
Fed Base,BRS5VYLY3,XS0294785034,CDO - High Yield CLO-Arbitrage Cash Flow,AFS,17500.59792,97.5476,No,0,,,0,0,0,0,1.327163132,1.342135384,0.026354237,1.350319828,1.32777413,2.091743171,0.028444814,0.048342648,0.101142364,0,0,0,EURO,CreditEdge Stressed EDFs
Fed Base,BRS4EUYS2,XS0308764660,CDO - High Yield CLO-Arbitrage Cash Flow,AFS,6248.07073,98.8028,No,0,,,0,0,0,0,0.434278712,0.44111954,0.006213803,0.449062059,0.441783562,2.97824894,0.008170829,0.012713287,0.041974533,0,0,0,EURO,CreditEdge Stressed EDFs
Fed Base,38741YDF3,US38741YDF34,MBS - Prime - Master Trust,AFS,1696.82409,100,No,0,,,0,0,0,0,0.819843506,0.82258737,0.013260372,0.813645588,0.81259526,0.140128881,0.04254815,0.00398841,0.028289072,0,0,0,UNITED KINGDOM,PA-ABS - UK MBS - Prime - Master Trust
Fed Base,38741YDB2,US38741YDB20,MBS - Prime - Master Trust,AFS,1262.75282,100,No,0,,,0,0,0,0,0.820192412,0.822773095,0.013269694,0.813645588,0.812668962,0.100119635,0.04254815,0.00398841,0.028289072,0,0,0,UNITED KINGDOM,PA-ABS - UK MBS - Prime - Master Trust
Fed Base,BRS3U9NT3,XS0275790789,MBS - Prime,AFS,58285.29436,100.7163,Yes,0,1.966373358,100.711246,5.05E-05,2.945738777,2.945738777,0,8.503080121,8.505113478,1.056338452,8.546736056,8.517889652,0.047823191,0.001942777,0.00133249,0.004721912,0,0,0,IRELAND,PA-ABS - IRELAND MBS - Prime
Fed Base,BRS56RHC9,XS0275790862,MBS - Prime,AFS,33242.16977,101.154,Yes,0,3.065789849,101.1458349,8.17E-05,2.714256404,2.714256404,0,8.521099515,8.520886083,1.059895511,8.546736056,8.518285234,-0.005008923,0.001942777,0.00133249,0.004721912,0,0,0,IRELAND,PA-ABS - IRELAND MBS - Prime
Fed Base,BRS5M6WJ5,XS0274609923,MBS - Prime,HTM,87069.62977,100.1491,No,0,,,0,0,0,0,12.5124992,12.52363285,2.202183991,12.55028504,12.45566232,0.177921974,0.018944479,0.015218645,0.030558539,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,BNY1RZ4T6,XS0833089153,MBS - Prime,AFS,63167.5,100,No,0,,,0,0,0,0,6.13098141,6.196071407,0.589473859,6.733284458,6.606261418,2.117704339,0.002212928,0.00071616,0.004472388,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,BNY1N57G1,NL0010200473,MBS - Prime,AFS,56850.75,100,No,0,,,0,0,0,0,6.323600366,6.398611481,0.490049721,6.784716819,6.475441446,2.365512787,0.007364257,0.00529048,0.007771272,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,BNY1S6R49,XS0826174772,MBS - Prime,AFS,56850.75,100,No,0,,,0,0,0,0,11.42066916,11.55046799,1.68589423,13.26682749,12.22484505,2.266705595,0.006243087,0.002811508,0.011081092,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,67605451,XS0676054546,MBS - Prime,AFS,50534,100.4653,No,0,,,0,0,0,0,3.94279336,3.990601142,0.209231509,4.130562819,4.030904748,2.417811602,0.0040186,0.004352346,0.006114802,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,BRS3UE026,XS0255992413,MBS - Prime,HTM,47443.34491,100.1654,No,0,,,0,0,0,0,12.68862875,12.69605128,2.209708989,12.64505656,12.58286211,0.116977796,0.008637979,0.012887308,0.025886929,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,Z9158S168,XS0619302135,MBS - Prime,AFS,37900.5,98.2155,No,0,,,0,0,0,0,3.301119242,3.353118807,0.148649205,3.473165483,3.390331177,3.129985649,0.019143137,0.016197432,0.020123534,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,BRS1WGBP0,XS0233450138,MBS - Prime,HTM,31405.66295,97.1779,No,0,,,0,0,0,0,8.954584901,8.974691185,1.236805319,9.06316972,9.035430128,0.448823436,0.006669032,0.009874372,0.020068271,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,BRS64R6L1,XS0292255758,MBS - Prime,HTM,41423.98444,100.1082,No,0,,,0,0,0,0,12.92548746,12.93270318,2.297534984,12.87517057,12.81609548,0.11163533,0.019511733,0.017704802,0.035632098,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,BRS75PXU2,XS0207208165,MBS - Prime,HTM,27581.79243,100.0914,No,0,,,0,0,0,0,7.112222082,7.11638895,0.798949885,7.057191087,7.046662517,0.117156748,0.006600207,0.019485194,0.019485194,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,BNY1S6QY4,XS0826174269,MBS - Prime,AFS,20733.18169,100,No,0,,,0,0,0,0,1.620227027,1.625594297,0.041075978,1.613339992,1.607357203,0.661984067,0.006243087,0.002811508,0.011081092,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,BNY1RZ4H2,XS0833086563,MBS - Prime,AFS,18941.69516,100,No,0,,,0,0,0,0,0.318761826,0.31996401,0.003249861,0.321039447,0.320089887,0.753578693,0.002212928,0.00071616,0.004472388,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,BRS1DNC59,XS0216513118,MBS - Prime,HTM,16931.72433,100.175,No,0,,,0,0,0,0,6.563901127,6.567293817,0.691475735,6.505980378,6.49824552,0.103362091,0.003609617,0.00944503,0.018586236,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,BRS30CEN2,XS0271028838,MBS - Prime,HTM,14251.26245,100.1347,No,0,,,0,0,0,0,9.318388969,9.359128301,1.324484909,9.746857022,9.615941009,0.873442884,0.030994657,0.017232335,0.043425226,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,BNY1J7756,XS0763536116,MBS - Prime,AFS,6686.27988,100,No,0,,,0,0,0,0,1.352089085,1.359295454,0.030859922,1.349675383,1.346974624,1.064513102,0.004781497,0.002995526,0.015116538,0,0,0,NETHERLANDS,PA-ABS - DUTCH MBS - Prime
Fed Base,BNY0KUBG6,XS0462896415,MBS - Prime - Master Trust,AFS,158877.6,100.385,No,0,,,0,0,0,0,0.055095562,0.054832572,0.000294536,0.052777778,0.057494867,-1.003718376,0.000512302,0.000114227,0.001115022,0,0,0,UNITED KINGDOM,PA-ABS - UK MBS - Prime - Master Trust
Fed Base,BNY1LTGM8,XS0790113475,MBS - Prime - Master Trust,AFS,121590,100,No,0,,,0,0,0,0,1.671791381,1.686083223,0.038923591,1.709241204,1.692782486,1.706652008,0.007625191,0.000250136,0.002438624,0,0,0,UNITED KINGDOM,PA-ABS - UK MBS - Prime - Master Trust
Fed Base,BNY1F4XT6,XS0744002139,MBS - Prime - Master Trust,AFS,97272,100.4776,No,0,,,0,0,0,0,2.899709744,2.924996827,0.099921889,3.002777778,2.9276061,1.738796877,0.004936421,0.00044684,0.003169993,0,0,0,UNITED KINGDOM,PA-ABS - UK MBS - Prime - Master Trust
Fed Base,BNY1L7LQ1,XS0784928649,MBS - Prime - Master Trust,AFS,97272,100,No,0,,,0,0,0,0,2.442515607,2.462793264,0.074113062,2.511891784,2.468142652,1.656564604,0.001162327,8.58E-05,0.000648642,0,0,0,UNITED KINGDOM,PA-ABS - UK MBS - Prime - Master Trust
Fed Base,BNY1KL3T5,XS0765640783,MBS - Prime,AFS,79111.46351,100,No,0,,,0,0,0,0,1.487520513,1.501847281,0.040231182,1.5284382,1.523645373,1.923460402,0.000528713,0.000903408,0.006375699,0,0,0,UNITED KINGDOM,PA-ABS - UK MBS - Prime
Fed Base,BNY1PBFY8,XS0810073576,MBS - Prime - Master Trust,AFS,77456.0724,102.7084,No,0,,,0,0,0,0,3.990068195,4.019197078,0.202906909,4.156476671,4.057530482,1.457452243,0.006961208,0.005770958,0.063058132,0,0,0,UNITED KINGDOM,PA-ABS - UK MBS - Prime - Master Trust
Fed Base,BNY1AZU99,XS0700016750,MBS - Prime - Master Trust,AFS,69711.6,99.643,No,0,,,0,0,0,0,1.858580424,1.875730474,0.044204054,1.902777778,1.876092118,1.839175522,0.007036209,0.000242605,0.001711784,0,0,0,UNITED KINGDOM,PA-ABS - UK MBS - Prime - Master Trust
Fed Base,BNY1H6S08,XS0758797848,MBS - Prime - Master Trust,AFS,64848,100,No,0,,,0,0,0,0,2.361887869,2.382174558,0.068799165,2.427777778,2.385868957,1.713658366,0.000512302,0.000114227,0.001115022,0,0,0,UNITED KINGDOM,PA-ABS - UK MBS - Prime - Master Trust
Fed Base,BNY1L7LP3,XS0784926437,MBS - Prime - Master Trust,AFS,54169.29446,100.0483,No,0,,,0,0,0,0,0.862808353,0.870058719,0.012766655,0.875479014,0.874119601,1.680181436,0.001162327,8.58E-05,0.000648642,0,0,0,UNITED KINGDOM,PA-ABS - UK MBS - Prime - Master Trust
